OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu632	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus agilis
Zotu579	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	?
Zotu568	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	?
Zotu634	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
Zotu647	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	?
Zotu640	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	?
Zotu1717	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu614	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu2895	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
Zotu639	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
Zotu670	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema sp. 3:G:BB003
Zotu1963	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Hydrotalea	?
Zotu690	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	?	?
Zotu685	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	?
Zotu2140	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	AAP99	?
Zotu691	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	?
Zotu1857	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu646	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	Craurococcus sp. HM28-1
Zotu700	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
Zotu716	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	?
Zotu693	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Bacteroidales bacterium	?
Zotu725	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	uncultured phototrophic eukaryote	?	?
Zotu1734	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter falsenii genomovar 2
Zotu727	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
Zotu1192	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
Zotu701	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	?
Zotu742	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens
Zotu356	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1787	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	?
Zotu1422	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1095	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu737	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	?
Zotu748	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
Zotu1487	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu746	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	?
Zotu2667	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu717	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
Zotu750	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
Zotu1711	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
Zotu2642	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	uncultured organism
Zotu757	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	?
Zotu732	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
Zotu1531	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
Zotu778	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	?	?
Zotu771	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	?
Zotu772	Bacteria	?	?	?	?	?	?
Zotu2180	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	?
Zotu1994	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
Zotu739	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus	?
Zotu1495	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu861	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
Zotu2712	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	?
Zotu2062	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	?
Zotu1438	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
Zotu2085	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu783	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-008	?
Zotu19	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
Zotu782	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ureibacillus	Ureibacillus thermosphaericus
Zotu1134	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2952	Bacteria	Proteobacteria	?	?	?	?	?
Zotu786	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	?
